date,revenue,purchases,customers,views,lag_1,lag_7,lag_30,rolling_7,rolling_30,day_of_week,month,quarter,target
2018-01-11,12202.78,2217,62,9576,11582.34,959.61,14370.36,7475.035714285715,8031.597999999999,3,1,1,181491.505
2018-01-12,2081.59,658,41,4519,12202.78,3360.16,13300.9,7292.382857142856,7657.620999999999,4,1,1,187320.21499999997
2018-01-14,3355.52,1080,35,5607,2081.59,4955.78,13233.89,7063.774285714286,7328.342000000001,6,1,1,187300.206
2018-01-15,8874.08,1897,33,6095,3355.52,2051.45,9591.13,8038.435714285714,7304.440333333333,0,1,1,182152.06599999996
2018-01-16,7783.661,1833,44,8864,8874.08,14428.55,1443.26,7089.165857142857,7515.787033333332,1,1,1,178553.75499999998
2018-01-17,6981.04,1205,60,5126,7783.661,3744.19,6351.95,7551.573000000001,7536.7567,2,1,1,176744.80599999998
2018-01-18,3832.36,1219,53,7274,6981.04,11582.34,13081.58,6444.433,7228.449366666667,3,1,1,178116.796
2018-01-19,9406.62,1516,40,8352,3832.36,12202.78,9438.21,6044.981571428571,7227.396366666667,4,1,1,176253.407
2018-01-21,3919.6,1232,48,5835,9406.62,2081.59,11225.14,6307.554428571429,6983.878366666666,6,1,1,176200.33700000003
2018-01-22,6985.36,1688,45,7668,3919.6,3355.52,10874.49,6826.103,6854.240699999999,0,1,1,173663.427
2018-01-23,15402.23,1569,99,7983,6985.36,8874.08,4827.07,7758.695857142857,7206.746033333333,1,1,1,165136.66700000002
2018-01-24,6361.5,1549,57,7627,15402.23,7783.661,4913.41,7555.53,7255.015700000001,2,1,1,164935.227
2018-01-25,3762.24,1246,57,7811,6361.5,6981.04,19796.76,7095.701428571428,6720.5317000000005,3,1,1,168739.057
2018-01-26,23953.341,1204,51,6177,3762.24,3832.36,9965.48,9970.127285714287,7186.793733333333,4,1,1,149811.326
2018-01-28,3879.48,1372,48,7441,23953.341,9406.62,15810.46,9180.535857142857,6789.0944,6,1,1,152008.256
2018-01-29,7386.311,1385,51,6319,3879.48,3919.6,7593.37,9675.780285714285,6782.192433333333,0,1,1,154307.075
2018-01-30,4535.34,1149,41,7070,7386.311,6985.36,10931.06,9325.77742857143,6569.001766666667,1,1,1,156503.01499999998
2018-01-31,5941.701,1539,45,7213,4535.34,15402.23,1935.05,7974.2732857142855,6702.5568,2,1,1,156902.624
2018-02-01,4711.68,1563,52,8175,5941.701,6361.5,2801.69,7738.584714285715,6766.223133333334,3,2,1,157557.504
2018-02-02,4312.59,1067,53,5496,4711.68,3762.24,13343.95,7817.206142857142,6465.1778,4,2,1,156986.504
2018-02-04,2266.32,826,29,3779,4312.59,23953.341,2259.06,4719.060285714286,6465.419800000001,6,2,1,156473.51399999997
2018-02-05,6819.9,1366,47,6603,2266.32,3879.48,1931.95,5139.120285714286,6628.351466666666,0,2,1,157198.62499999997
2018-02-06,3590.02,1049,52,6916,6819.9,7386.311,3013.22,4596.793,6647.5781333333325,1,2,1,158742.47499999998
2018-02-07,4086.49,872,26,2952,3590.02,4535.34,959.61,4532.671571428572,6751.807466666667,2,2,1,158881.13499999998
2018-02-08,2882.61,865,50,4770,4086.49,5941.701,3360.16,4095.6585714285716,6735.889133333333,3,2,1,162408.05499999996
2018-02-09,3001.02,820,31,4144,2882.61,4711.68,4955.78,3851.2785714285715,6670.730466666666,4,2,1,208288.865
2018-02-11,3463.02,1160,41,6430,3001.02,4312.59,2051.45,3729.9114285714286,6717.7828,6,2,1,208725.16499999998
2018-02-12,5631.921,889,37,6945,3463.02,2266.32,14428.55,4210.711571428571,6424.561833333334,0,2,1,209558.834
2018-02-13,7989.73,1938,57,9153,5631.921,6819.9,3744.19,4377.830142857143,6566.079833333333,1,2,1,254008.92400000003
